source,target,following,followed_by
SenDanSullivan,RonWyden,FALSE,FALSE
SenDanSullivan,SenJeffMerkley,TRUE,FALSE
SenDanSullivan,SenBobCasey,TRUE,TRUE
SenDanSullivan,SenToomey,FALSE,TRUE
SenDanSullivan,SenJackReed,FALSE,TRUE
SenDanSullivan,SenWhitehouse,TRUE,TRUE
SenDanSullivan,GrahamBlog,FALSE,TRUE
SenDanSullivan,SenatorTimScott,TRUE,TRUE
SenDanSullivan,SenatorRounds,TRUE,TRUE
SenDanSullivan,SenJohnThune,FALSE,TRUE
SenDanSullivan,SenAlexander,FALSE,TRUE
SenDanSullivan,BobCorker,FALSE,FALSE
SenDanSullivan,JohnCornyn,TRUE,TRUE
SenDanSullivan,SenTedCruz,FALSE,TRUE
SenDanSullivan,senorrinhatch,FALSE,TRUE
SenDanSullivan,SenMikeLee,TRUE,TRUE
SenDanSullivan,SenatorLeahy,FALSE,TRUE
SenDanSullivan,timkaine,FALSE,FALSE
SenDanSullivan,MarkWarner,TRUE,TRUE
SenDanSullivan,PattyMurray,FALSE,FALSE
SenDanSullivan,SenatorCantwell,FALSE,FALSE
SenDanSullivan,SenCapito,FALSE,TRUE
SenDanSullivan,Sen_JoeManchin,TRUE,TRUE
SenDanSullivan,SenatorBaldwin,TRUE,TRUE
SenDanSullivan,SenRonJohnson,TRUE,TRUE
SenDanSullivan,SenatorEnzi,TRUE,TRUE
SenDanSullivan,SenJohnBarrasso,TRUE,TRUE
SenJohnMcCain,SenShelby,TRUE,FALSE
SenJohnMcCain,SenDougJones,FALSE,FALSE
SenJohnMcCain,lisamurkowski,TRUE,FALSE
SenJohnMcCain,SenDanSullivan,TRUE,FALSE
SenJohnMcCain,SenJohnMcCain,FALSE,FALSE
SenJohnMcCain,JeffFlake,TRUE,TRUE
SenJohnMcCain,SenTomCotton,TRUE,TRUE
SenJohnMcCain,JohnBoozman,TRUE,FALSE
SenJohnMcCain,SenFeinstein,TRUE,FALSE
SenJohnMcCain,SenKamalaHarris,FALSE,FALSE
SenJohnMcCain,SenBennetCO,TRUE,TRUE
SenJohnMcCain,SenCoryGardner,TRUE,FALSE
SenJohnMcCain,ChrisMurphyCT,TRUE,FALSE
SenJohnMcCain,SenBlumenthal,TRUE,FALSE
SenJohnMcCain,SenatorCarper,TRUE,FALSE
SenJohnMcCain,ChrisCoons,TRUE,FALSE
SenJohnMcCain,SenBillNelson,FALSE,FALSE
SenJohnMcCain,marcorubio,FALSE,TRUE
SenJohnMcCain,sendavidperdue,TRUE,FALSE
SenJohnMcCain,SenatorIsakson,TRUE,FALSE
